피난처 ID,시도명,시군구명,시설명,상세주소,시설면적,경도,위도,구분,구분명,관리부서
0,서울특별시,용산구,용산공업고등학교,서울특별시 용산구  서빙고로 24  (한강로3가),19129,126.967082,37.524409,1,지진실내구호소,3
0,서울특별시,강남구,개원초등학교 운동장,서울특별시 강남구 개포동   660-10,12032,없음,없음,2,지진옥외대피소,3
0,서울특별시,강북구,상산공원,서울특별시 강북구 수유동   224-4,973,127.021805,37.638326,2,지진옥외대피소,3
0,서울특별시,종로구,중앙고등학교,서울특별시 종로구 계동   1-0,11000,126.987035,37.584897,2,지진옥외대피소,3
0,서울특별시,관악구,신관중학교 운동장,서울특별시 관악구 신림동   87-81,3608,126.934573,37.480282,2,지진옥외대피소,3
0,서울특별시,구로구,개명초등학교운동장,서울특별시 구로구 개봉동   314-165,714,126.850698,37.483005,2,지진옥외대피소,3
0,서울특별시,서초구,세화여자고등학교,서울특별시 서초구 반포동   753,16500,126.991801,37.501613,2,지진옥외대피소,3
0,서울특별시,도봉구,새동네어린이공원,서울특별시 도봉구 도봉동   289-5,1289,127.043216,37.688949,2,지진옥외대피소,3
0,서울특별시,강동구,천일초등학교운동장,서울특별시 강동구 천호동   217-70,2980,127.13332,37.544051,2,지진옥외대피소,3
0,서울특별시,송파구,서울중대초등학교,서울특별시 송파구  송파대로36길 8  (송파동),8711,127.11371,37.500104,1,지진실내구호소,3
0,서울특별시,광진구,동의초등학교 운동장 ,서울특별시 광진구 구의동   4-5,2100,127.09879,37.553542,2,지진옥외대피소,3
0,서울특별시,성북구,개운중학교,서울특별시 성북구  북악산로 935  (돈암동),13029,127.02485,37.594604,1,지진실내구호소,3
0,서울특별시,강서구,개화초등학교운동장,서울특별시 강서구 방화제1동 501,1650,126.804433,37.573494,2,지진옥외대피소,3
0,서울특별시,마포구,합정동보호수 정자마당,서울특별시 마포구 합정동   450-6,13224,126.903347,37.551635,2,지진옥외대피소,3
0,서울특별시,은평구,응암공원,서울특별시 은평구 응암동   85-41,992,126.923566,37.601714,2,지진옥외대피소,3
0,서울특별시,금천구,문교초등학교,서울특별시 금천구  독산로54길 102  (독산동),500,126.908684,37.466393,1,지진실내구호소,3
0,서울특별시,양천구,한두어린이공원,서울특별시 양천구 목동   611-1,986,126.866873,37.548683,2,지진옥외대피소,3
0,서울특별시,동대문구,경희여자고등학교,서울특별시 동대문구 회기동   1-5,2350,127.051131,37.594822,2,지진옥외대피소,3
0,서울특별시,마포구,경성고등학교,서울특별시 마포구 연남동 111,629,126.918785,37.56325,1,지진실내구호소,3
0,서울특별시,용산구,후암동 성당 공터,서울특별시 용산구 후암동   38-3,2850,126.97826,37.551976,2,지진옥외대피소,3
0,서울특별시,송파구,아주중학교 운동장,서울특별시 송파구 잠실동   115,19179,127.076029,37.505121,2,지진옥외대피소,3
1,서울특별시,양천구,달마을근린공원,서울특별시 양천구 목동   904-5,35214,126.869084,37.542771,2,지진옥외대피소,3
1,서울특별시,강서구,방화중학교 운동장,서울특별시 강서구 방화동   636-1,7950,126.806867,37.565116,2,지진옥외대피소,3
1,서울특별시,동대문구,청량초등학교,서울특별시 동대문구 회기동   1-1,3000,127.055356,37.592063,2,지진옥외대피소,3
1,서울특별시,은평구,연은초등학교 운동장,서울특별시 은평구 응암동   242-424,10568,126.925128,37.590425,2,지진옥외대피소,3
1,서울특별시,관악구,해태어린이공원,서울특별시 관악구 신림동   103-141,1359,126.9406,37.472501,2,지진옥외대피소,3
1,서울특별시,마포구,서울중동초등학교,서울특별시 마포구  월드컵북로 152  (성산동),782,126.911345,37.566644,1,지진실내구호소,3
1,서울특별시,용산구,보성여고 운동장,서울특별시 용산구 용산동2가   1-1123,819,126.984529,37.542749,2,지진옥외대피소,3
1,서울특별시,광진구,용곡중학교 운동장 ,서울특별시 광진구 중곡동   176-77,1243,127.08896,35.566171,2,지진옥외대피소,3
1,서울특별시,도봉구,해태어린이공원,서울특별시 도봉구 도봉동   614-37,962,127.04119,37.672003,2,지진옥외대피소,3
1,서울특별시,종로구,대동세무고등학교,서울특별시 종로구 계동   35-0,2000,126.987303,37.58192,2,지진옥외대피소,3
1,서울특별시,마포구,옹달샘어린이공원,서울특별시 마포구 망원동   408-3,1134,126.902101,37.555075,2,지진옥외대피소,3
1,서울특별시,구로구,서울매봉초등학교운동장,서울특별시 구로구 개봉동   3,1650,126.844575,37.504402,2,지진옥외대피소,3
1,서울특별시,강북구,솔밭근린공원,서울특별시 강북구 우이동   80,34955,127.011675,37.652864,2,지진옥외대피소,3
1,서울특별시,용산구,신용산초등학교,서울특별시 용산구  이촌로 255  (이촌동),380,126.975897,37.520011,1,지진실내구호소,3
1,서울특별시,관악구,국지어린이공원,서울특별시 관악구 봉천동   635-429,1650,126.94067,37.490039,2,지진옥외대피소,3
1,서울특별시,강남구,신구초등학교,서울특별시 강남구  압구정로18길 28  (신사동),1663,127.023938,37.523355,1,지진실내구호소,3
1,서울특별시,성북구,안암초등학교,서울특별시 성북구  인촌로7가길 39  (안암동2가),1021,127.022671,37.587227,1,지진실내구호소,3
1,서울특별시,강남구,학여울근린공원,서울특별시 강남구 개포동   183-1,12506,없음,없음,2,지진옥외대피소,3
1,서울특별시,송파구,잠신고등학교 운동장,서울특별시 송파구 잠실동   22-2,14679,127.088987,37.515116,2,지진옥외대피소,3
1,서울특별시,금천구,가산중학교,서울특별시 금천구  시흥대로115길 48  (독산동),500,126.894362,37.468378,1,지진실내구호소,3
