관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
11350-00103,은하수,어린이공원,우이천로 102,우이천로 102,37.629994,,1500.2,,,"파고라, 조합놀이대",,,,,,2021-09-13
11350-00104,코스모스,어린이공원,덕릉로118길 29,상계 1293-2,37.667745,127.083008,1385.7,,,"파고라, 조합놀이대",,,,,,2021-09-13
11350-00105,철  쭉,어린이공원,동일로239나길 31,상계 1096-16,37.677909,127.051722,995,,,"파고라, 조합놀이대",,,,,,2021-09-13
11350-00106,무지개,어린이공원,공릉로34길 18,공릉 89,37.620667,127.083239,1575.1,,,"파고라, 조합놀이대",,,,,,2021-09-13
11350-00107,청  솔,어린이공원,화랑로51길 81,공릉 110-2,37.624297,127.087923,1500.1,,,"파고라, 조합놀이대, 의자",,,,,,2021-09-13
11350-00108,송  림,어린이공원,노원로 62,공릉 106-3,37.627153,127.087008,1500.3,,,"파고라, 조합놀이대",,,,,,2021-09-13
11350-00109,배  꽃,어린이공원,화랑로51나길 68,공릉 123-1,37.625886,127.092799,1537.2,,,"파고라, 조합놀이대",,,,,,2021-09-13
11350-00110,불  암,어린이공원,덕릉로112길 24,상계 1275-4,37.664545,127.078662,1500.1,,,"파고라, 의자",,,,,,2021-09-13
11350-00111,장 암,어린이공원,누원로 28,상계 1312-5,37.686646,127.054065,1500,,,"조합놀이대, 의자, 파고라",,,,,,2021-09-13
11350-00112,꽃사슴,어린이공원,덕릉로 130길,상계 71-4,37.672626,127.084642,410,,,"조합놀이대, 의자",,,,,,2021-09-13
