관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
11350-00158,석계역문화공원,마을마당,화랑로 331,월계1 47-45,37.6152248,127.0617433,3900,,,,,,,,,2021-09-13
11350-00159,공릉가로공원,마을마당,화랑로 440-2,공릉1 657-8,37.6173359,127.0738809,8999,,,,,,,,,2021-09-13
11350-00160,상계 5,마을마당,한글비석로24다길 32-8 부근,상계5 155-23,37.6635348,127.0693311,417,,,,,,,,,2021-09-13
11350-00161,한천가로공원,마을마당,섬밭로 88 부근,공릉1 406-1,37.6242708,,7145,,,,,,,,,2021-09-13
11350-00162,우이천가로공원,마을마당,월계로45길 21 부근,월계2 861-3,37.6257112,127.0470189,8098,,,,,,,,,2021-09-13
11350-00163,월계2동쌈지(신화연립),마을마당,우이천로2길 29,월계2 912-1,37.6324586,127.0405079,164,,,,,,,,,2021-09-13
11350-00164,월계2동쌈지(신우빌라),마을마당,우이천로 66,월계2 877-4,37.6291395,127.0434113,561,,,,,,,,,2021-09-13
11350-00165,중계본동 보호수 근처,마을마당,중계로12길 39 부근,중계본 58-35,37.6464965,127.080867,105,,,,,,,,,2021-09-13
11350-00166,원암유치원,마을마당,중계로14라길 28 부근,중계본 90-37,37.649804,127.084306,380,,,,,,,,,2021-09-13
11350-00167,상계5동 쌈지마당,마을마당,한글비석로39길 16-8,상계5 167-18,37.6619714,127.0665669,137,,,,,,,,,2021-09-13
11350-00168,상계5동 간촌마을 가로공원,마을마당,한글비석로46가길 34 부근,상계5 458-3,37.6661168,127.0658531,1298.2,,,,,,,,,2021-09-13
11350-00169,힐링숲,마을마당,한글비석로31가길 34 부근,상계5 441-3,37.6613963,127.0653931,862,,,,,,,,,2021-09-13
11350-00170,중계소공원2,소공원,동일로204길 1-2 부근,중계동 514-8,37.64511693,127.0669216,700,,,-,,,,,,2021-09-13
11350-00171,상계소공원1,소공원,서울 노원구 노원로38길 76,상계동 680,37.66414754,127.0622021,2471,,,"퍼걸러, 벤치",,,,,,2021-09-13
11350-00172,상계소공원2,소공원,서울 노원구 노원로38길 10,상계동 677,37.66154332,127.0625264,1530,,,"퍼걸러, 벤치",,,,,,2021-09-13
11350-00173,상계소공원3,소공원,서울 노원구 덕릉로109다길 13,상계 3·4동 1355-6,37.66752735,127.0770827,574.2,,,"퍼걸러, 벤치",,,,,,2021-09-13
11350-00174,상계소공원4,소공원,서울 노원구 수락산로 12 인근,상계 3·4동 1355-8,37.66443274,127.0745684,670,,,"퍼걸러, 벤치",,,,,,2021-09-13
