,id,lat,lng,households,buildDate,score,m2,p,min_sales,max_sales,avg_sales,구,distance_park,distance_subway,distance_mart,cctv,crime,distance_hospital,distance_library,distance_school
0,2766,37.68160372,127.0565917,492,200006,4.3,139,42,60100.0,62000.0,61000.0,노원구,0.10354794290312319,0.5307786208077772,4.76256681936444,2415,3743,3.6603538836165246,0.23563122773904868,0.34534825477743725
1,5860,37.6792898,127.0570207,468,200105,4.1,105,32,48600.0,52200.0,51000.0,노원구,0.11144057511241295,0.30257490720091734,4.503356468895152,2415,3743,3.4003209513026085,0.19477528237067893,0.6017856054969882
2,15564,37.67688187,127.0580753,57,200502,4.8,86,26,36000.0,46000.0,40500.0,노원구,0.18524226730346574,0.2465220499044,4.221650798563033,2415,3743,3.1231159235133794,0.4356017293694898,0.3671724127734034
3,3700,37.67527716,127.0600011,216,199509,4.8,102,31,34000.0,34800.0,34500.0,노원구,0.09050161056228698,0.45540239682662886,4.012343981392727,2415,3743,2.9300965105558365,0.5832581622405458,0.2314750229008476
4,6204,37.67638079,127.0583606,165,200306,4.8,91,28,27900.0,50300.0,40000.0,노원구,0.21198188317286662,0.2786937899678053,4.161798191108152,2415,3743,3.064935356870526,0.4949399965280868,0.3100457671991964
5,3697,37.67735438,127.0572686,299,200004,4.4,84,25,29200.0,39000.0,34500.0,노원구,0.13492721424987847,0.18122340531231357,4.288885305937828,2415,3743,3.1841299774505094,0.3507720388920508,0.4310192412103533
6,19203,37.67659042,127.0571138,45,200905,4.0,126,38,36500.0,64600.0,63000.0,노원구,0.10005066309670088,0.16654704764723718,4.209567405862955,2415,3743,3.101903129586556,0.41648810886215465,0.3535155927287884
7,3699,37.67383553,127.0601315,290,199704,3.9,84,25,24300.0,40400.0,31000.0,노원구,0.10767441639185556,0.5497649358580259,3.852803801875597,2415,3743,2.769388028352947,0.44637937526276905,0.15003764090661614
8,948,37.68109689,127.0537572,1391,199811,4.0,54,16,17100.0,26600.0,23500.0,노원구,0.22280961489689233,0.48056875719492953,4.769867434413354,2415,3743,3.6468069051725656,0.1677887645331279,0.39906543170901887
9,15206,37.67996178,127.053507,1313,199810,4.0,53,16,15800.0,26000.0,22500.0,노원구,0.11088999927952972,0.3697498756701206,4.654848071926027,2415,3743,3.5279912592660296,0.10056019123348067,0.5261339944053111
10,19851,37.6860596,127.053443,548,200911,3.8,79,24,36900.0,41200.0,40000.0,노원구,0.0530608068286709,1.0262002088292872,5.309612019283066,2415,3743,4.193634400845268,0.24040434479538786,0.2312037691803105
11,10023,37.67461549,127.0570851,100,200411,4.5,90,27,34000.0,46800.0,44500.0,노원구,0.031954835552428035,0.3041200350989825,3.997387695981431,2415,3743,2.8851235207111685,0.46380163829218857,0.16564492823482183
12,19850,37.68747591,127.0535532,696,200911,3.6,110,33,38700.0,40200.0,39500.0,노원구,0.10268483909038605,1.1807053988683693,5.459823324816523,2415,3743,4.3468582113132355,0.08927356482212492,0.36040007843433153
13,3702,37.67298548,127.0592013,397,199510,4.1,102,31,30700.0,31100.0,31000.0,노원구,0.1819964560979723,0.5597077383570359,3.7772061179017906,2415,3743,2.681772497773964,0.32316415449747593,0.09429585906440634
14,6705,37.67458711,127.0561375,175,200411,4.8,103,31,42500.0,45000.0,43000.0,노원구,0.08264022092266202,0.27298803118285453,4.016318298516858,2415,3743,2.8961003705332846,0.4730865712152555,0.1385298148243376
15,2808,37.67738514,127.0531469,763,199410,3.7,59,18,13800.0,41500.0,30000.0,노원구,0.10381754233011456,0.19359127246254645,4.39074844863101,2415,3743,3.2564000478062205,0.16556088091602134,0.43432360497499095
16,21230,37.68437059,127.0507213,139,200212,3.4,109,33,33500.0,34400.0,34000.0,도봉구,0.4459010371856362,0.6415992973031326,0.6236643361252316,1629,2179,4.669327297904945,0.3998906882142722,0.34301301099906756
17,3701,37.67197755,127.0568201,274,200006,4.0,76,23,33400.0,41500.0,38500.0,노원구,0.18832886217411823,0.5688849890049209,3.720837622379436,2415,3743,2.5998435023878166,0.17720349978615593,0.23016339375039632
18,22483,37.6761026,127.0521167,30,200402,4.0,48,15,10500.0,25900.0,21000.0,노원구,0.07744925264635545,0.2933536508246366,4.285243529657547,2415,3743,3.1425664479579747,0.27010048813846343,0.3620630667288939
19,13915,37.67701829,127.0514644,95,200205,3.7,76,23,24600.0,24900.0,24500.0,노원구,0.10160395498289183,0.3354851495627191,4.400533309941392,2415,3743,3.2565308910528525,0.1729886042338529,0.476153540959595
20,118,37.68252225,127.0496181,205,199112,3.8,101,31,27800.0,28100.0,28000.0,도봉구,0.23937247519915733,0.7788560048538398,0.42376700537940126,1629,2179,4.442029653570347,0.19631947877565087,0.5246886598525398
21,10246,37.68327911,127.0495279,147,200506,3.6,106,32,31400.0,31400.0,31500.0,도봉구,0.3237776196539873,0.6976226574185932,0.4649563236884432,1629,2179,4.515175653212893,0.2802802695292334,0.4402184271754693
22,14961,37.67117728,127.0572321,34,199711,0.0,97,29,35100.0,38000.0,36500.0,노원구,0.16602997342871254,0.6460591466708486,3.625284097538755,2415,3743,2.5058458576849922,0.0820275247343676,0.28940554378514627
23,932,37.6820521,127.049177,286,199011,4.5,104,31,27400.0,27400.0,27500.0,도봉구,0.19936020444094266,0.8160039937215382,0.36510387756143275,1629,2179,4.378271759425394,0.16227189586717314,0.5761122311876647
24,5404,37.67812903,127.0497512,159,199909,4.4,84,25,28100.0,28500.0,28000.0,도봉구,0.15794126610167888,1.0666717533218228,0.47121669069010463,1629,2179,4.009986558710699,0.2993949366138987,1.0131786774926894
25,577,37.68105939,127.0488462,660,198710,3.9,97,29,23400.0,26500.0,24500.0,도봉구,0.1287676346014467,0.9152909037584661,0.3039546250213873,1629,2179,4.265901201349448,0.11678626885875851,0.6874408732523968
26,1021,37.6696098,127.05856,2265,198904,3.8,58,18,13600.0,39100.0,19000.0,노원구,0.031997093286932135,0.4781934014998869,3.4260931300211226,2415,3743,2.3155151988287366,0.13839840399321962,0.24253461709416016
27,2763,37.67195965,127.0812493,240,200606,3.8,85,26,19400.0,24400.0,21500.0,노원구,0.09847449065738391,0.2315386395331263,3.7409079740451294,2415,3743,3.0582363058414757,0.20449483368235677,0.5938976203362077
28,26666,37.6744955,127.0515579,37,199901,0.0,91,28,17500.0,47500.0,27000.0,노원구,0.24852003833640998,0.4257312170998767,4.135144237456666,2415,3743,2.986504916442427,0.44962011697909604,0.3111217044061741
29,2806,37.66740214,127.0675208,385,199506,4.1,84,25,22000.0,33000.0,30500.0,노원구,0.20487652825432628,0.8781676807206499,3.0660801013276195,2415,3743,2.1019984176019255,0.4573246186637247,0.13623585486200554
30,2804,37.67289123,127.0527628,331,199304,4.1,102,31,28700.0,28700.0,28500.0,노원구,0.2765857176322804,0.5021150984118188,3.9305821004094272,2415,3743,2.7842791351625222,0.4346713895641854,0.21641857526929253
31,6054,37.6748187,127.050927,230,200207,4.1,81,25,25300.0,56200.0,32000.0,노원구,0.2509210745386744,0.4498578705715208,4.18896236625531,2415,3743,3.0382769906312683,0.4219556933626376,0.3747138002381431
32,4366,37.66728607,127.0688173,230,199505,4.0,102,31,34500.0,35200.0,34500.0,노원구,0.18922654047227785,0.8035095811734122,3.051756017200428,2415,3743,2.1181348003512612,0.48133731090236836,0.2510797296700961
33,9948,37.687633,127.0486601,200,200212,4.7,106,32,32800.0,33900.0,33500.0,도봉구,0.17728374846599337,0.24845023026444404,0.828228232927018,1629,2179,4.9317836182223465,0.3973397175748791,0.06953441808568954
