서ㆍ센터명,유형구분명,lng,lat,구
관악소방서,소방서,126.95235494891779,37.473942757901284,관악구
서초소방서,소방서,126.99195243941429,37.49842141535963,서초구
구로소방서,소방서,126.86518667430886,37.49779883485647,구로구
마포소방서,소방서,126.93318124340577,37.5493826657093,마포구
중랑소방서,소방서,127.09485538446368,37.615355069596106,중랑구
동대문소방서,소방서,127.06665926381805,37.56400716192322,동대문구
강서소방서,소방서,126.86027788661588,37.5580306501599,강서구
은평소방서,소방서,126.91979002681119,37.62891281439476,은평구
송파소방서,소방서,127.1425919928235,37.49979898849209,송파구
중부소방서,소방서,127.01539752629589,37.5648686851098,중부구
성북소방서,소방서,127.0317554454072,37.602435958608794,성북구
서대문소방서,소방서,126.93590337948422,37.57326379308742,서대문구
용산소방서,소방서,126.97152835987661,37.53407956969167,용산구
동작소방서,소방서,126.91767778400319,37.49462419195052,동작구
양천소방서,소방서,126.87225841283338,37.53016108040302,양천구
성동소방서,소방서,127.03950980964564,37.55366493054624,성동구
광진소방서,소방서,127.08275102470911,37.544832276949506,광진구
강북소방서,소방서,127.03820322314456,37.63304506023049,강북구
종로소방서,소방서,126.9789059399219,37.572862521400076,종로구
영등포소방서,소방서,126.90415375090222,37.51849012995176,영등포구
강남소방서,소방서,127.06678384111106,37.510286130713084,강남구
강동소방서,소방서,127.12493914892397,37.529273246060555,강동구
노원소방서,소방서,127.07113692475045,37.63811712869906,노원구
도봉소방서,소방서,127.04303903127347,37.66403874194223,도봉구
금천소방서,소방서,126.897864,37.464019,금천구
