,id,lat,lng,households,buildDate,score,m2,p,min_sales,max_sales,avg_sales,구,distance_park,distance_subway,distance_mart,distance_hospital,distance_library,distance_school,distance_eq_shelter,distance_fire_station,crime,cctv
10,19851,37.6860596,127.053443,548,200911,3.8,79,24,59040.0,65920.0,64000.0,노원구,53.0608068286709,1026.2002088292872,5309.612019283066,4193.634400845269,240.40434479538786,231.2037691803105,234.4852645133086,5553.823988148071,3743,2415
11,10023,37.67461549,127.0570851,100,200411,4.5,90,27,54400.0,74880.0,71200.0,노원구,31.954835552428033,304.1200350989825,3997.387695981431,2885.1235207111686,463.80163829218856,165.64492823482183,181.64658609608992,4242.7659030082295,3743,2415
12,19850,37.68747591,127.0535532,696,200911,3.6,110,33,61920.0,64320.0,63200.0,노원구,102.68483909038605,1180.7053988683692,5459.823324816523,4346.858211313235,89.27356482212492,360.40007843433153,379.4229980286995,5702.5172227553485,3743,2415
13,3702,37.67298548,127.0592013,397,199510,4.1,102,31,49120.0,49760.0,49600.0,노원구,181.9964560979723,559.707738357036,3777.2061179017905,2681.772497773964,323.1641544974759,94.29585906440634,90.19249548466287,4017.0361157791117,3743,2415
14,6705,37.67458711,127.0561375,175,200411,4.8,103,31,68000.0,72000.0,68800.0,노원구,82.64022092266201,272.9880311828545,4016.3182985168582,2896.1003705332846,473.0865712152555,138.5298148243376,178.36427918482457,4264.832591987148,3743,2415
15,2808,37.67738514,127.0531469,763,199410,3.7,59,18,22080.0,66400.0,48000.0,노원구,103.81754233011456,193.59127246254644,4390.74844863101,3256.4000478062203,165.56088091602135,434.32360497499093,439.3021598737437,4644.725446982964,3743,2415
16,21230,37.68437059,127.0507213,139,200212,3.4,109,33,53600.0,55040.0,54400.0,도봉구,445.9010371856362,641.5992973031326,623.6643361252317,4669.327297904945,399.8906882142722,343.01301099906755,104.41815780501342,2359.7350255964516,2179,1629
17,3701,37.67197755,127.0568201,274,200006,4.0,76,23,53440.0,66400.0,61600.0,노원구,188.32886217411823,568.884989004921,3720.8376223794357,2599.8435023878164,177.20349978615593,230.16339375039632,189.43767781668407,3970.4576587661304,3743,2415
18,22483,37.6761026,127.0521167,30,200402,4.0,48,15,16800.0,41440.0,33600.0,노원구,77.44925264635545,293.3536508246366,4285.243529657547,3142.5664479579746,270.10048813846345,362.0630667288939,350.64280227665597,4543.558495594175,3743,2415
19,13915,37.67701829,127.0514644,95,200205,3.7,76,23,39360.0,39840.0,39200.0,노원구,101.60395498289184,335.4851495627191,4400.533309941392,3256.5308910528524,172.9886042338529,476.153540959595,466.81870201794743,4659.3967538395655,3743,2415
20,118,37.68252225,127.0496181,205,199112,3.8,101,31,44480.0,44960.0,44800.0,도봉구,239.37247519915732,778.8560048538397,423.76700537940127,4442.029653570347,196.31947877565088,524.6886598525398,239.71020839902326,2135.2812926330644,2179,1629
21,10246,37.68327911,127.0495279,147,200506,3.6,106,32,50240.0,50240.0,50400.0,도봉구,323.7776196539873,697.6226574185932,464.9563236884432,4515.175653212893,280.2802695292334,440.2184271754693,238.20527525173665,2214.342881660141,2179,1629
22,14961,37.67117728,127.0572321,34,199711,0.0,97,29,56160.0,60800.0,58400.0,노원구,166.02997342871254,646.0591466708486,3625.284097538755,2505.845857684992,82.0275247343676,289.4055437851463,227.9785698314101,3874.5677264536243,3743,2415
23,932,37.6820521,127.049177,286,199011,4.5,104,31,43840.0,43840.0,44000.0,도봉구,199.36020444094265,816.0039937215382,365.10387756143274,4378.2717594253945,162.27189586717313,576.1122311876647,198.5886064706909,2074.5643777179334,2179,1629
24,5404,37.67812903,127.0497512,159,199909,4.4,84,25,44960.0,45600.0,44800.0,도봉구,157.94126610167888,1066.6717533218227,471.21669069010466,4009.986558710699,299.3949366138987,1013.1786774926894,251.9749554438428,1674.4460333803056,2179,1629
25,577,37.68105939,127.0488462,660,198710,3.9,97,29,37440.0,42400.0,39200.0,도봉구,128.7676346014467,915.2909037584661,303.9546250213873,4265.901201349448,116.7862688587585,687.4408732523967,125.59939588333702,1960.4078396174011,2179,1629
26,1021,37.6696098,127.05856,2265,198904,3.8,58,18,21760.0,62560.0,30400.0,노원구,31.997093286932135,478.19340149988693,3426.0931300211228,2315.5151988287366,138.39840399321963,242.53461709416015,220.50536736267628,3672.694756425763,3743,2415
27,2763,37.67195965,127.0812493,240,200606,3.8,85,26,31040.0,39040.0,34400.0,노원구,98.47449065738391,231.53863953312631,3740.9079740451293,3058.2363058414758,204.49483368235676,593.8976203362078,595.3816790612763,3866.982068339468,3743,2415
28,26666,37.6744955,127.0515579,37,199901,0.0,91,28,28000.0,76000.0,43200.0,노원구,248.52003833640998,425.7312170998767,4135.144237456666,2986.5049164424267,449.62011697909605,311.1217044061741,232.75422879510631,4396.985029216372,3743,2415
29,2806,37.66740214,127.0675208,385,199506,4.1,84,25,35200.0,52800.0,48800.0,노원구,204.87652825432627,878.1676807206499,3066.0801013276196,2101.9984176019257,457.3246186637247,136.23585486200554,145.4251561334641,3271.869046104175,3743,2415
30,2804,37.67289123,127.0527628,331,199304,4.1,102,31,45920.0,45920.0,45600.0,노원구,276.5857176322804,502.1150984118188,3930.5821004094273,2784.2791351625224,434.6713895641854,216.41857526929255,81.71280567623079,4191.394455271461,3743,2415
31,6054,37.6748187,127.050927,230,200207,4.1,81,25,40480.0,89920.0,51200.0,노원구,250.92107453867442,449.85787057152083,4188.9623662553095,3038.2769906312683,421.9556933626376,374.7138002381431,298.614151796956,4451.970230279114,3743,2415
32,4366,37.66728607,127.0688173,230,199505,4.0,102,31,55200.0,56320.0,55200.0,노원구,189.22654047227786,803.5095811734122,3051.756017200428,2118.134800351261,481.33731090236836,251.07972967009613,260.19340715593904,3249.860610200535,3743,2415
33,9948,37.687633,127.0486601,200,200212,4.7,106,32,52480.0,54240.0,53600.0,도봉구,177.28374846599337,248.45023026444403,828.228232927018,4931.783618222346,397.3397175748791,69.53441808568954,305.45162953186497,2669.7954160165896,2179,1629
34,2840,37.66737208,127.0632409,939,198904,3.8,58,18,21760.0,33920.0,28000.0,노원구,240.8932644866749,542.7841176807189,3097.4242591166794,2047.1635787390642,321.3752023532709,242.07297378054665,120.2557192347081,3326.4449465090493,3743,2415
35,2762,37.67443471,127.0504651,105,199602,3.4,74,22,32000.0,59040.0,40000.0,노원구,309.8684373266395,507.10578867376853,4164.768719268587,3011.586906274022,473.27944225292003,403.345728207728,310.3824612494278,4429.41476830107,3743,2415
36,1437,37.67163697,127.052966,494,199904,3.7,102,31,53280.0,54720.0,54400.0,노원구,138.70971191953177,624.2810741606613,3793.984835498781,2645.906689546416,330.164129218411,169.611683876434,167.5238526370578,4056.00475274344,3743,2415
37,1284,37.6866928,127.047548,2678,199509,3.9,95,29,42720.0,50720.0,49600.0,도봉구,184.45896071192954,280.77973121020557,698.7274392073695,4799.137221769827,254.29589813853525,162.75882819270308,250.8876982711967,2550.0819820328666,2179,1629
38,7543,37.68472527,127.0471209,141,200410,3.7,100,30,48000.0,54080.0,53600.0,도봉구,211.12588743116473,487.2415287243624,478.3458065492639,4581.354640144298,127.2143151153786,336.76168795452844,209.46944115822825,2328.1212504556966,2179,1629
39,58188,37.6686747,127.0781537,87,200311,0.0,74,22,43520.0,51840.0,48000.0,노원구,158.6279620272002,232.50263189015595,3314.55028535852,2603.473862323669,649.7465037105744,241.89344208260505,221.78262610956654,3453.5411633421704,3743,2415
40,6012,37.68151787,127.0469012,526,200303,4.3,113,34,52800.0,83360.0,64000.0,도봉구,303.53667068790077,841.6117892599457,162.14589403383795,4243.25812528258,295.31207707135127,668.7003289060924,299.73890191313643,1973.0909974486055,2179,1629
41,6702,37.67224298,127.0517196,142,199610,4.3,79,24,42240.0,47360.0,44800.0,노원구,222.8666040376072,609.3759602018788,3897.3606947325593,2744.893572208921,331.26051364560084,193.28809864528125,196.8171477957582,4161.862087552117,3743,2415
42,5536,37.66629212,127.0675379,348,199005,4.1,83,25,38880.0,41760.0,40800.0,노원구,149.57218818038044,782.1190567270634,2942.665181137506,1982.2779916078234,382.3605738509063,194.94570046684538,206.34501457454462,3148.8974036134305,3743,2415
43,1445,37.67310837,127.0507045,106,199507,5.0,102,31,38400.0,38400.0,38400.0,노원구,349.4308903371684,586.3975986902461,4020.6512112601604,2865.9489277615785,408.44804163691845,301.79316481138466,256.37389547031637,4286.502137936789,3743,2415
44,2892,37.66608244,127.0686666,420,198703,4.3,63,19,27200.0,59520.0,36000.0,노원구,79.3575179292531,700.322266025165,2917.865006651357,1986.004497171374,350.517763423278,286.506572450421,292.5737010507082,3117.1965207321778,3743,2415
45,9155,37.67962237,127.0465237,448,200502,3.8,79,24,52800.0,65120.0,59200.0,도봉구,321.68279627785995,1051.6746286940495,147.96953926286264,4036.2891728562013,292.6945335256402,725.694972592642,316.9290192909875,1759.7528189440598,2179,1629
46,3734,37.67626306,127.0476642,190,199812,3.4,81,25,30240.0,71200.0,44800.0,도봉구,110.76469399095288,834.4048987903898,524.3454661776952,3741.0395482462363,461.3647251640133,822.0151400354863,270.1830615811866,1418.9317272366613,2179,1629
