id,lat,lng,households,buildDate,score,m2,p,min_sales,max_sales,avg_sales
19691,37.6177652,127.0169313,1370,201110,4,84,25,55680,92800,76800
1141,37.65963916,127.034489,236,199607,4.4,105,32,50560,50560,50400
6237,37.65647257,127.0417359,299,200401,3.7,113,34,69600,118560,79200
16932,37.65572254,127.0428642,194,200707,4.7,105,32,72960,75200,74400
5686,37.61844324,127.0130395,3830,200405,3.8,81,25,53600,66560,60800
6168,37.65346181,127.0457231,205,200310,4.3,95,29,72000,83200,73600
241,37.65988387,127.0356632,160,198908,3.2,59,18,19840,24320,23200
12324,37.65841205,127.0401005,40,200311,4,63,19,35040,37280,36000
79328,37.66091832,127.0352784,70,201906,0,58,18,63520,78240,72000
36409,37.6172715,127.036353,615,201702,4.7,83,25,63680,105920,75200
6206,37.65615755,127.0457067,456,200309,4.4,78,24,55840,102400,77600
5373,37.66023585,127.0394532,82,200105,4.5,89,27,37920,37920,37600
6288,37.65790985,127.0436316,2061,200407,4.3,112,34,82240,119200,88800
9079,37.6185842,127.007303,1971,200512,3.8,79,24,42240,73440,56800
37079,37.6197054,127.045891,513,201710,4.2,76,23,74880,115200,83200
3834,37.61956117,127.0020842,261,199905,3.5,71,21,33600,60960,43200
11143,37.61765409,127.0429511,31,200212,0,106,32,48640,48640,48800
2938,37.61802225,127.0034252,791,200106,3.9,59,18,34240,58560,43200
1139,37.63786724,127.0687086,660,198810,4.5,85,26,60640,85760,74400
9906,37.63999307,127.0695671,160,199403,4.7,104,31,64000,80000,73600
1283,37.6374209,127.069304,1200,198810,4.1,35,11,23680,32960,27200
858,37.6394516,127.070875,700,199706,4.6,106,32,82720,82720,82400
1412,37.63684866,127.0663828,1320,198809,4.4,87,26,57440,78720,68800
2922,37.64271576,127.0665829,2433,199111,3.8,56,17,26080,40480,32800
16155,37.63960918,127.0726667,39,199612,4,111,34,87200,87200,87200
9908,37.63667245,127.0718753,68,199609,4,98,30,49600,63200,56000
2942,37.64191545,127.0637397,3481,199009,4.1,54,16,26560,40160,33600
595,37.6387861,127.062487,1890,198906,4.2,61,18,37600,93120,60000
9907,37.6352605,127.0705642,80,199609,4.4,126,38,59200,72800,66400
422,37.63468087,127.0695395,685,198906,4.3,71,21,53760,81920,63200
33074,37.63544464,127.0642395,1980,198807,4.2,55,17,30720,68320,52800
710,37.63370158,127.0678664,1880,198910,4,56,17,27680,42720,34400
18263,37.64500358,127.0677815,219,200806,4.4,116,35,80000,80000,80000
2943,37.63575926,127.0616053,2340,199912,4,79,24,49440,83520,69600
2944,37.63980918,127.0755583,498,199303,3.7,132,40,86400,91360,88800
2945,37.6444649,127.072035,730,199707,4.2,94,28,78080,88960,85600
711,37.63248142,127.0713002,1192,198910,3.6,55,17,27200,45920,33600
547,37.63906582,127.0770305,396,199306,3.9,131,40,89440,98080,92000
4300,37.63745828,127.0773143,288,199912,4,80,24,44800,85280,55200
33345,37.64289856,127.0589981,457,201603,4.4,86,26,45760,84640,60800
53,37.6470452,127.0661,742,199101,4.2,93,28,50880,55040,52800
2760,37.6304164,127.068034,660,199412,3.6,46,14,24320,38400,30400
341,37.64683099,127.0734352,568,199307,4.1,122,37,111520,117280,116000
2767,37.64622543,127.0609522,600,198804,4.5,115,35,56800,56800,56800
1088,37.64631443,127.0753292,696,199303,3.8,70,21,34400,34400,34400
708,37.62987899,127.0719276,525,199412,4.2,51,15,26880,44320,38400
2897,37.63173104,127.0596851,884,199506,3.8,44,13,24000,35040,27200
7139,37.64809607,127.0732823,330,199504,3.3,79,24,57760,57760,57600
5619,37.62916481,127.0668155,1601,200109,4.2,46,14,25760,85440,61600
3703,37.64789053,127.0607949,2064,198805,3.9,46,14,19360,54560,34400
10485,37.63173891,127.0583483,205,200503,4,75,23,48320,55520,52000
2919,37.62941584,127.0625154,713,199506,3.9,52,16,23520,39200,31200
16694,37.63280631,127.0570577,65,200609,0,69,21,40800,58400,53600
55,37.64843016,127.0749869,948,199512,4.3,105,32,96640,96640,96800
3759,37.65016309,127.0700389,402,199601,4.1,81,25,67520,95200,77600
2722,37.62856306,127.0727284,363,199512,3.7,76,23,46720,73440,53600
36410,37.64048767,127.0537415,326,201702,4,77,23,56000,89440,70400
2870,37.6503434,127.065021,2136,198805,4,45,14,22240,62400,35200
2921,37.64745166,127.0778232,400,199306,4.3,136,41,106880,152640,127200
6342,37.62794071,127.0708745,88,200308,4.8,91,28,51840,59200,55200
9868,37.62922092,127.0753709,215,199904,3.5,84,25,49760,52320,51200
5899,37.6275448,127.069986,342,200203,4.5,99,30,74720,90240,81600
1146,37.6498289,127.074331,780,199607,4.2,104,31,95200,95200,95200
2761,37.6272681,127.0686127,840,199412,3.9,44,13,24800,39040,29600
22780,37.62919512,127.0762635,41,200912,4,56,17,22400,74080,59200
827,37.65118271,127.0705249,508,199812,3.8,81,25,82240,98240,88000
1085,37.64709724,127.0796676,630,199303,3.8,60,18,25280,25280,25600
38238,37.6300843,127.057203,859,201911,5,83,25,80000,103200,95200
9969,37.62903579,127.058677,223,200506,4.4,78,24,47680,73280,59200
1327,37.65165304,127.0674204,492,198805,4,103,31,60160,83040,62400
11726,37.64501989,127.0818454,49,200505,3.3,101,31,67680,78560,77600
16825,37.62752084,127.0738285,61,200506,4,101,31,68000,93280,90400
1022,37.64420729,127.0533816,1980,198907,3.4,52,16,21760,31680,23200
3962,37.62665092,127.0701573,190,199910,4.6,86,26,62240,78240,67200
828,37.65144134,127.0719394,250,199906,4.1,87,26,62560,78720,72000
2842,37.6497384,127.058947,2029,198711,3.6,45,14,22560,50240,35200
1079,37.64878112,127.0784184,600,199303,3.4,60,18,27680,27680,28000
4308,37.6277579,127.075093,153,200002,5,80,24,32960,43840,38400
3705,37.62652099,127.0641578,910,198707,3.6,67,20,28000,35520,30400
14952,37.62635856,127.0709047,48,200301,3.5,38,11,23200,83360,53600
10245,37.62631136,127.0714711,49,200208,0,79,24,45920,70080,57600
2759,37.62808113,127.0768424,452,199912,4,84,25,44800,84640,58400
18826,37.62608502,127.0703018,79,200607,3.8,69,21,33600,68800,52000
138,37.64702767,127.0812765,424,199701,4.1,76,23,53120,72800,62400
4309,37.62755192,127.0759582,68,199702,4,81,25,48000,72160,52800
773,37.64975414,127.0784693,468,199305,4.3,124,38,112000,122720,117600
1174,37.65270038,127.0698283,215,199712,3.8,82,25,46720,82560,64000
2871,37.6525288,127.064082,840,198711,4,37,11,18240,18240,18400
7579,37.6256804,127.071919,138,200211,4.2,101,31,60960,70560,66400
4340,37.65241734,127.0730282,213,199906,3.6,37,11,24800,72640,63200
1454,37.64544296,127.0835342,453,199905,4.1,82,25,41280,85120,59200
277,37.62807635,127.0786187,295,199604,3.7,81,25,48160,81120,64800
1023,37.6469077,127.052933,910,198811,3.7,45,14,13920,48320,28800
9931,37.6250936,127.0708627,69,199505,4.3,78,24,39840,62720,50400
7135,37.65350407,127.0698154,67,200206,4.5,74,22,43200,72640,68800
2893,37.63318735,127.0513526,344,199807,3.7,124,38,62880,78720,70400
58175,37.62540784,127.0736952,72,201204,0,18,5,12160,18720,14880
2891,37.65374246,127.0689045,437,199710,4.1,79,24,47040,89760,61600
11729,37.65343409,127.072313,652,199902,3.9,83,25,51680,89760,72800
7641,37.64733259,127.0832984,448,200503,4.3,78,24,67360,123200,84000
5011,37.62649139,127.0774434,181,200010,4.2,82,25,47360,49920,48800
203,37.64875703,127.0820444,192,199206,4.2,79,24,47680,63040,60000
14964,37.64943145,127.0813426,48,199409,3.5,98,30,28800,42400,36000
1265,37.62808963,127.0803089,561,200010,4,84,25,44320,81600,53600
14954,37.65390019,127.0703371,37,200305,3,55,17,25600,49600,40800
2896,37.63169156,127.0517096,520,199808,4,54,16,25440,42880,35200
2843,37.6518697,127.058081,2213,198711,3.8,45,14,23040,60000,41600
4339,37.62444095,127.0714104,90,199812,4.3,81,25,45600,92320,55200
1504,37.64689235,127.0841001,268,199812,4.3,106,32,47040,47040,47200
1068,37.65282275,127.075925,2328,199204,3.9,50,15,22080,79040,46400
7541,37.65417725,127.0710671,305,200502,4.6,78,24,61600,85280,67200
2872,37.6543297,127.065976,2646,198805,3.8,45,14,24640,38720,36000
2923,37.64914939,127.0827066,478,199910,4.1,84,25,45440,88960,67200
7137,37.65046552,127.0817154,130,199210,4.7,92,28,52640,88960,72800
7138,37.65193742,127.0795232,960,199308,4.3,114,34,109280,132480,112000
5523,37.65429105,127.0735558,259,199909,4.7,85,26,53120,86400,71200
5538,37.65496094,127.0683073,795,199809,4.1,85,26,47520,93760,59200
2895,37.6317715,127.050187,458,199808,3.8,54,16,23840,44000,33600
18147,37.64784339,127.0846451,140,199311,4,106,32,50080,50720,50400
3964,37.62333453,127.0714274,174,200003,4.2,76,23,39520,87040,60000
614,37.62314008,127.0649116,274,199410,4.3,79,24,36640,57120,48800
2894,37.628627,127.052354,2002,199210,3.4,50,15,22880,50400,30400
17027,37.62401094,127.060558,48,200606,4,96,29,56000,63840,61600
4070,37.64638934,127.0495623,366,200011,4.1,81,25,46240,56320,52000
6261,37.62600634,127.0806238,237,200404,3.8,47,14,26400,60480,52000
2959,37.64869007,127.0849905,211,199311,3.5,90,27,49280,72160,60800
544,37.626773,127.0820429,845,199509,4.1,72,22,33440,66240,52000
5285,37.65045513,127.0520417,1764,198811,3.8,77,23,38880,61440,45600
27843,37.62526053,127.0803104,49,200612,4,94,28,56160,61440,60000
1066,37.6447296,127.047572,1710,199111,3.9,52,16,20480,31520,25600
316,37.65225647,127.082003,210,198809,3.6,53,16,17760,18720,18400
6011,37.6563072,127.0710238,251,200207,4.2,110,33,74560,79040,76800
4399,37.6558909,127.073992,313,199102,4.2,86,26,52320,63520,61600
416,37.6217041,127.06776,3930,198606,3.4,43,13,17280,36160,31200
835,37.65617989,127.0729457,791,199606,4.3,86,26,44480,97280,65600
9953,37.62315043,127.0589216,157,200505,4.3,76,23,53120,67200,59200
1065,37.65517909,127.0769111,690,199109,3.5,63,19,23840,67680,47200
6424,37.62398921,127.0790222,130,199705,4.3,71,21,40640,51840,47200
6627,37.62496091,127.081035,198,200406,4.3,105,32,49440,77600,54400
7136,37.62240738,127.0601852,120,197604,4,72,22,25280,26400,26400
3706,37.62197059,127.0615622,190,199912,4,91,28,46880,69120,64800
51420,37.6260232,127.083453,1308,202109,0,0,0,NaN,NaN,NaN
14937,37.62254147,127.0774348,73,200306,3,105,32,68640,71360,71200
7698,37.62117887,127.0722455,191,200301,4.2,89,27,53280,62720,55200
505,37.649135,127.048527,1668,199207,4.2,85,26,50240,60000,58400
187,37.62177295,127.0604338,258,199709,3.9,82,25,45120,58720,51200
2764,37.65735581,127.0712424,358,200105,4.5,77,23,45440,98080,76000
4563,37.6512966,127.050319,600,198812,4.7,105,32,57120,87040,62400
4389,37.62122073,127.0620056,171,200004,3.5,92,28,53120,76800,63200
4325,37.62394088,127.081197,196,199912,4,85,26,60640,80800,67200
6117,37.65763748,127.0639761,448,200308,4.9,107,32,69920,75200,75200
13188,37.6216122,127.0765956,30,200310,0,52,16,20800,33600,31200
5049,37.65792512,127.0652093,137,199207,4,101,31,55840,57280,56800
12451,37.62189865,127.0775986,37,200405,4,92,28,39680,76000,67200
4071,37.6275976,127.086785,564,200012,4.2,126,38,100640,106560,103200
12146,37.62043974,127.0727703,40,200212,4,111,34,42240,43360,42400
6216,37.62064061,127.0617877,105,200205,3.8,84,25,48480,61280,57600
11094,37.62072409,127.0606641,115,200510,3,80,24,46400,66400,64000
15884,37.62612428,127.0497935,850,200611,3.9,80,24,68800,85120,74400
5575,37.62103156,127.0772248,145,199905,3.7,69,21,31680,67360,51200
16841,37.65827351,127.0733784,95,200512,5,113,34,87520,88480,88800
3961,37.6198871,127.072469,152,199904,4.3,83,25,39040,70080,54400
4091,37.65853542,127.0629388,259,199701,3.8,106,32,69440,70240,69600
6571,37.62160317,127.0793595,69,200404,3.7,85,26,44800,57120,50400
2958,37.65689319,127.0789845,1800,199206,3.9,59,18,24160,24160,24000
2721,37.6234998,127.083185,1676,199907,3.8,69,21,38560,48800,41600
5048,37.62455462,127.0847999,432,198510,3.6,84,25,42240,52480,47200
4310,37.6266376,127.087328,494,200005,4.1,78,24,55200,66080,61600
4388,37.6295424,127.0459079,199,199608,3.6,100,30,45280,47360,46400
2873,37.6584006,127.060523,2634,198807,4,58,18,27360,61600,35200
5543,37.65853208,127.0748202,94,199812,3.3,86,26,41280,72000,57600
4360,37.65896951,127.0726629,203,199703,5,85,26,42560,111200,55200
9866,37.6584097,127.07597,88,200512,4.5,79,24,57920,91680,80800
33318,37.62210083,127.0540009,504,201601,4.4,84,25,64480,76960,72000
2720,37.62577449,127.0873569,700,199907,3.4,69,21,35840,50080,40800
23330,37.65899277,127.0745239,283,201409,4.3,81,25,41440,126240,100800
